context,question,answer,false_answer1,false_answer2,false_answer3
"A much smaller number of people are insensitive to pain due to an inborn abnormality of the nervous system, known as ""congenital insensitivity to pain"". Children with this condition incur carelessly-repeated damage to their tongues, eyes, joints, skin, and muscles. Some die before adulthood, and others have a reduced life expectancy.[citation needed] Most people with congenital insensitivity to pain have one of five hereditary sensory and autonomic neuropathies (which includes familial dysautonomia and congenital insensitivity to pain with anhidrosis). These conditions feature decreased sensitivity to pain together with other neurological abnormalities, particularly of the autonomic nervous system. A very rare syndrome with isolated congenital insensitivity to pain has been linked with mutations in the SCN9A gene, which codes for a sodium channel (Nav1.7) necessary in conducting pain nerve stimuli.",What is the inborn abnormality of a nervous system known as?, congenital insensitivity to pain, cell  spine  sensitive to pain, a hereditary sensory and autonomic neuropathies, abnormal nervous system
"A much smaller number of people are insensitive to pain due to an inborn abnormality of the nervous system, known as ""congenital insensitivity to pain"". Children with this condition incur carelessly-repeated damage to their tongues, eyes, joints, skin, and muscles. Some die before adulthood, and others have a reduced life expectancy.[citation needed] Most people with congenital insensitivity to pain have one of five hereditary sensory and autonomic neuropathies (which includes familial dysautonomia and congenital insensitivity to pain with anhidrosis). These conditions feature decreased sensitivity to pain together with other neurological abnormalities, particularly of the autonomic nervous system. A very rare syndrome with isolated congenital insensitivity to pain has been linked with mutations in the SCN9A gene, which codes for a sodium channel (Nav1.7) necessary in conducting pain nerve stimuli.",What is the other side effect of congenital insensitivity to pain?, a reduced life expectancy, a reduced disease, a lower age, a lower blood pressure
"A much smaller number of people are insensitive to pain due to an inborn abnormality of the nervous system, known as ""congenital insensitivity to pain"". Children with this condition incur carelessly-repeated damage to their tongues, eyes, joints, skin, and muscles. Some die before adulthood, and others have a reduced life expectancy.[citation needed] Most people with congenital insensitivity to pain have one of five hereditary sensory and autonomic neuropathies (which includes familial dysautonomia and congenital insensitivity to pain with anhidrosis). These conditions feature decreased sensitivity to pain together with other neurological abnormalities, particularly of the autonomic nervous system. A very rare syndrome with isolated congenital insensitivity to pain has been linked with mutations in the SCN9A gene, which codes for a sodium channel (Nav1.7) necessary in conducting pain nerve stimuli.",What does the SCN9A gene code for?, sodium channel (Nav1.7) necessary in conducting pain nerve stimuli, pain nerve stimuli," a condition called ""congenital insensitivity to pain""", sensitivity to brain disorders
"A much smaller number of people are insensitive to pain due to an inborn abnormality of the nervous system, known as ""congenital insensitivity to pain"". Children with this condition incur carelessly-repeated damage to their tongues, eyes, joints, skin, and muscles. Some die before adulthood, and others have a reduced life expectancy.[citation needed] Most people with congenital insensitivity to pain have one of five hereditary sensory and autonomic neuropathies (which includes familial dysautonomia and congenital insensitivity to pain with anhidrosis). These conditions feature decreased sensitivity to pain together with other neurological abnormalities, particularly of the autonomic nervous system. A very rare syndrome with isolated congenital insensitivity to pain has been linked with mutations in the SCN9A gene, which codes for a sodium channel (Nav1.7) necessary in conducting pain nerve stimuli.",What are most people with congenital insensitivity to pain having?, one of five hereditary sensory and autonomic neuropathies, two of five sensory and motorneys, a one of three sensory and cognitive neuropathy, an inborn abnormalities of the nerve system
"A much smaller number of people are insensitive to pain due to an inborn abnormality of the nervous system, known as ""congenital insensitivity to pain"". Children with this condition incur carelessly-repeated damage to their tongues, eyes, joints, skin, and muscles. Some die before adulthood, and others have a reduced life expectancy.[citation needed] Most people with congenital insensitivity to pain have one of five hereditary sensory and autonomic neuropathies (which includes familial dysautonomia and congenital insensitivity to pain with anhidrosis). These conditions feature decreased sensitivity to pain together with other neurological abnormalities, particularly of the autonomic nervous system. A very rare syndrome with isolated congenital insensitivity to pain has been linked with mutations in the SCN9A gene, which codes for a sodium channel (Nav1.7) necessary in conducting pain nerve stimuli.",What is the name of a condition that affects congenital insensitivity to pain?, inflammation, abnormality, a neuropathy, AIDS
"A much smaller number of people are insensitive to pain due to an inborn abnormality of the nervous system, known as ""congenital insensitivity to pain"". Children with this condition incur carelessly-repeated damage to their tongues, eyes, joints, skin, and muscles. Some die before adulthood, and others have a reduced life expectancy.[citation needed] Most people with congenital insensitivity to pain have one of five hereditary sensory and autonomic neuropathies (which includes familial dysautonomia and congenital insensitivity to pain with anhidrosis). These conditions feature decreased sensitivity to pain together with other neurological abnormalities, particularly of the autonomic nervous system. A very rare syndrome with isolated congenital insensitivity to pain has been linked with mutations in the SCN9A gene, which codes for a sodium channel (Nav1.7) necessary in conducting pain nerve stimuli.",What is the cause of congenital insensitivity to pain?," children with this condition incur carelessly-repeated damage to their tongues, eyes, joints, skin, and muscles", children with this condition are not able to suffer enough, children without this condition tend a little older than those with this disease, people with this condition suffer from anachronism and autonomic neuropathies
"A much smaller number of people are insensitive to pain due to an inborn abnormality of the nervous system, known as ""congenital insensitivity to pain"". Children with this condition incur carelessly-repeated damage to their tongues, eyes, joints, skin, and muscles. Some die before adulthood, and others have a reduced life expectancy.[citation needed] Most people with congenital insensitivity to pain have one of five hereditary sensory and autonomic neuropathies (which includes familial dysautonomia and congenital insensitivity to pain with anhidrosis). These conditions feature decreased sensitivity to pain together with other neurological abnormalities, particularly of the autonomic nervous system. A very rare syndrome with isolated congenital insensitivity to pain has been linked with mutations in the SCN9A gene, which codes for a sodium channel (Nav1.7) necessary in conducting pain nerve stimuli.",What gene codes for a sodium channel necessary in conducting pain nerve stimuli?, the SCN9A gene, the SCC9A genes, the NPC1 gene, the SCN7A gene.
"Dog behavior is the internally coordinated responses (actions or inactions) of the domestic dog (individuals or groups) to internal and/or external stimuli. As the oldest domesticated species, with estimates ranging from 9,000–30,000 years BCE, the minds of dogs inevitably have been shaped by millennia of contact with humans. As a result of this physical and social evolution, dogs, more than any other species, have acquired the ability to understand and communicate with humans and they are uniquely attuned to our behaviors. Behavioral scientists have uncovered a surprising set of social-cognitive abilities in the otherwise humble domestic dog. These abilities are not possessed by the dog's closest canine relatives nor by other highly intelligent mammals such as great apes. Rather, these skills parallel some of the social-cognitive skills of human children.",What is dog behavior?, internally coordinated responses (actions or inactions) of the domestic dog (individuals or groups) to internal and/or external stimuli, interactions between the domestic animal individuals or group to internal, behaviours of the domestic dog individuals and groups, internal and/or external stimuli.
"Dog behavior is the internally coordinated responses (actions or inactions) of the domestic dog (individuals or groups) to internal and/or external stimuli. As the oldest domesticated species, with estimates ranging from 9,000–30,000 years BCE, the minds of dogs inevitably have been shaped by millennia of contact with humans. As a result of this physical and social evolution, dogs, more than any other species, have acquired the ability to understand and communicate with humans and they are uniquely attuned to our behaviors. Behavioral scientists have uncovered a surprising set of social-cognitive abilities in the otherwise humble domestic dog. These abilities are not possessed by the dog's closest canine relatives nor by other highly intelligent mammals such as great apes. Rather, these skills parallel some of the social-cognitive skills of human children.",What are the social skills of dogs not possessed by?, their closest canine relatives nor by other highly intelligent mammals such as great apes, their closest canine relatives, by highly intelligent mammals, by their closest apes
"Dog behavior is the internally coordinated responses (actions or inactions) of the domestic dog (individuals or groups) to internal and/or external stimuli. As the oldest domesticated species, with estimates ranging from 9,000–30,000 years BCE, the minds of dogs inevitably have been shaped by millennia of contact with humans. As a result of this physical and social evolution, dogs, more than any other species, have acquired the ability to understand and communicate with humans and they are uniquely attuned to our behaviors. Behavioral scientists have uncovered a surprising set of social-cognitive abilities in the otherwise humble domestic dog. These abilities are not possessed by the dog's closest canine relatives nor by other highly intelligent mammals such as great apes. Rather, these skills parallel some of the social-cognitive skills of human children.",What do the social skills of dogs parallel?, social-cognitive skills of human children, psychological abilities of intelligent mammals., human child's biological abilities, behavioral skills of animals
